State,2018,2019,2020,2021,2022,Avg.
CT,387329,340447,372305,371632,375361,369415
ME,167858,144433,159995,158097,162159,158508
MA,770566,703516,821254,929029,1024442,849761
NH,86502,70412,72505,69116,69343,73575
NY,2796620,2661700,2658439,2780714,2839326,2747360
RI,158986,141232,146183,142149,139362,145582
VT,73058,68277,68568,67790,69483,69435
DE,140298,119787,120416,115484,118842,122965
DC,112282,101230,116406,140115,145805,123168
MD,646483,570444,700979,823501,772731,702828
NJ,760303,649128,700538,825664,857304,758587
PA,1818589,1627640,1794613,1766450,1845636,1770585
VA,736221,654882,730370,750785,794646,733381
WV,321009,282662,306218,302444,310879,304642
AL,766681,667043,730708,769606,761074,739022
FL,3347518,2649741,3177286,3356215,2847086,3075569
GA,1556452,1332536,1565935,1640617,1608203,1540749
KY,615305,502241,555425,597747,541623,562468
MS,505308,420873,429568,418451,413651,437570
NC,1344485,1228424,1317566,1541661,1599930,1406413
SC,658119,558722,596161,608107,618978,608017
TN,970875,832130,868936,881344,825340,875725
IL,1826011,1639396,1865896,1985791,1981714,1859761
IN,617032,530384,601417,645754,617630,602444
IA,345406,295682,310564,286050,278827,303306
MI,1281862,1181972,1254475,1278213,1351310,1269566
MN,428986,381779,409275,452652,435910,421720
OH,1421366,1273257,1396860,1509438,1491294,1418443
WI,652885,572323,647376,762395,708238,668643
AZ,845733,736883,833448,879123,825666,824171
AR,372451,354917,371265,346176,280390,345040
LA,867342,749560,830750,924723,822649,839005
NM,456251,415161,468745,520494,518799,475890
OK,585064,531728,596705,619149,650640,596657
TX,3895207,3187238,3551011,3408385,3440726,3496513
UT,189093,160829,164041,163010,156291,166653
CO,449824,415289,483097,513945,540303,480492
KS,217420,185329,200443,200344,195799,199867
MO,736590,639338,715447,698720,657870,689593
MT,115223,99368,104391,97186,89167,101067
NE,169811,148768,157091,157273,155550,157698
ND,52621,45312,46092,50377,47417,48364
SD,87410,75020,78245,74627,71012,77263
WY,29330,24309,26928,29118,30178,27973
AK,91995,78932,83194,82888,92119,85826
CA,3949535,3529470,4312002,4327062,4627744,4149163
HI,163618,144922,165418,195834,169014,167761
ID,157858,135922,146497,132607,124078,139392
NV,439941,391569,448688,453250,455231,437736
OR,633970,554927,635485,706294,718580,649851
WA,877244,833128,870997,927999,874543,876782
Total,40697921,35640211,39786217,41485591,41149886,39751965
Total (w/o DC),40585639,35538981,39669811,41345475,41004081,39628797
